SampleNo year y_hat y
1 1952 200 204
2 1953 300 244 
3 1954 500 426
4 1955 800 803 
5 1956 1400 1295
6 1957 1900 1848 
7 1958 2400 2465 
8 1959 3050 3154 
9 1960 3800 3892 
10 1961 4400 4616 
11 1962 5000 5264 
12 1963 5600 5806 
13 1964 6000 6255 
14 1965 6500 6654 
15 1966 6900 7041 
16 1967 7350 7416 
17 1968 7600 7729 
18 1969 7900 7931 
19 1970 8150 8030 
20 1971 8100 8068 
21 1972 8050 8072 
22 1973 8000 8049 
23 1974 7900 7990 
24 1975 7800 7871 
25 1976 7600 7670 
26 1977 7250 7367 
27 1978 6750 6967 
28 1979 6090 6490
29 1980 5450 5970
30 1981 4900 5441
31 1982 4350 4927
32 1983 3900 4445
33 1984 3450 4005
34 1985 3100 3609
35 1986 2700 3256
36 1987 2450 2943
37 1988 2200 2667
38 1989 2000 2424
39 1990 1900 2211
40 1991 1770 2023
41 1992 1680 1858
42 1993 1590 1712
43 1994 1500 1584
44 1995 1410 1472
45 1996 1320 1373
46 1997 1230 1285
47 1998 1180 1207
48 1999 1150 1139
49 2000 1110 1078
50 2001 1090 1024
51 2002 1070 975
52 2003 1050 932
53 2004 1040 894
54 2005 1020 860
